"","address","lat","lat.1","lat.2","lat.3","lat.4","lat.5","lat.6","lat.7","lat.8","lat.9","lat.10","lat.11","lat.12","lat.13","lat.14","lat.15","lat.16","lon","lon.1","lon.2","lon.3","lon.4","lon.5","lon.6","lon.7","lon.8","lon.9","lon.10","lon.11","lon.12","lon.13","lon.14","lon.15","lon.16"
"1","Gurudatta Society , Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"2","Muktabai Society , Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"3","Suryadarshan Society , Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"4","Shrirang Society , Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"5","Indraprasis Society , Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"6","Snehadip Society , Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"7","Lakshmi Society , Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"8","Ashtavinayak Society , Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"9","Sahyadri Society , Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"10","Shree swami Samarth Society Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"11","Kalpataru Society , Swadeshi Mill Road Devaratna Nagar , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"12","Akash Ganga Society , Swadeshi Mill Road MHADA colony , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"13","2b, 2a , Swadeshi Mill Road MHADA colony , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"14","Mangalamuruta Society , Swadeshi Mill Road MHADA colony , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"15","1b , Swadeshi Mill Road MHADA colony , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"16","Resolution Society , Swadeshi Mill Road MHADA colony , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
"17","Kalanjali Society , Swadeshi Mill Road MHADA colony , Chunabhatti, Sion Mumbai, Maharashtra 400024 ",19.0553136,19.0553136,19.056896,19.0566939,19.0553136,19.0566939,19.0553136,19.0553136,19.0553136,19.0566939,19.0425236,19.0460805,19.055052,19.0555899,19.055848,19.0555899,19.0553136,72.8706876,72.8706876,72.8725397,72.8729297,72.8706876,72.8729297,72.8706876,72.8706876,72.8706876,72.8729297,72.8654296,72.8597157,72.8721075,72.8726704,72.872095,72.8726704,72.8706876
